CBG ID,snow depth,% below poverty,% civilian unemployed,% capita income,% no high school,% 65 older,% 17 younger,% household disability,% single parent household,% minority,% not well english,% multi unit,% mobile homes,% crowding,% no vehicle,% group quarters,historical requests,neighbor historical request,Lon,Lat,311_requests
3.60E+11,193.1096483,0.43431221,0.099099099,23367,0.070588235,0.095744681,0.317629179,0.21942446,1,0.846504559,0,0.031358885,0,0,0.284172662,0.016717325,0.220364742,0.208356826,332227,323563,75.98784195
3.60E+11,213.4913069,0.811748999,0.035190616,8253,0.356617647,0.054521277,0.347074468,0.394265233,0.265225933,0.916888298,0.22697126,0.292217327,0,0.03046595,0.564516129,0.029255319,0.218085106,0.188406093,329275,321961,32.57978723
3.60E+11,284.7960308,0.227526663,0.044444444,26498,0.242683797,0.200200702,0.229302559,0.431155779,0.542654028,0.351731059,0.031815688,0.141491396,0,0,0.062311558,0.002508781,0.096838936,0.161379494,331633,317870,25.08780733
3.60E+11,156.3347072,0.159165752,0.018518519,30436,0.055469954,0.04451683,0.212812161,0.117768595,0.73006135,0.513572204,0,0,0,0,0.185950413,0,0.144408252,0.132891182,326221,328090,51.03148751
3.60E+11,151.7645984,0.318905156,0.063865546,24480,0,0.091024825,0.164863144,0.149390244,0.857142857,0.953532782,0,0.305,0,0,0.446646341,0,0.12221515,0.129882579,330254,327034,29.91725016
3.60E+11,266.6157548,0.184892897,0.060240964,20468,0.483076923,0.164599775,0.1578354,0.495575221,0.315217391,0.20518602,0,0.094713656,0,0,0.318584071,0,0.204058625,0.208646297,329483,318351,48.47801578
3.60E+11,198.201646,0.052092229,0.08993576,33914,0.251173709,0.242527754,0.261315115,0.317427386,0.092465753,0.994876174,0.021636877,0,0,0,0.087136929,0,0.157984629,0.179183815,329105,322906,36.72075149
3.60E+11,295.5629475,0.020886616,0.049075391,35329,0.011065812,0.124467178,0.229752771,0.167883212,0.531007752,0.283034953,0,0,0.013913043,0,0.033368092,0,0.094202899,0.108710855,330687,315623,18.75532822
3.60E+11,166.3251032,0.275635767,0.3012939,21589,0.185221675,0.289581624,0.127973749,0.436532508,1,0.99097621,0,0,0,0,0.236842105,0.013945857,0.182936833,0.200162762,330130,324994,35.27481542
3.60E+11,170.5339871,0.042769857,0.049180328,45450,0.076112412,0.106924644,0.073319756,0.226980728,1,0.958248473,0,0,0,0,0.263383298,0,0.146639511,0.173981747,330557,324956,42.76985743
3.60E+11,283.0037112,0.043735225,0.06612411,32449,0.044283414,0.134751773,0.234042553,0.283540802,0.371212121,0.211583924,0,0,0,0,0.138312586,0,0.108156028,0.210697569,332111,318608,24.82269504
3.60E+11,177.9342461,0.186234818,0.086580087,21063,0.141880342,0.102226721,0.356275304,0.146608315,0.78041543,1,0,0,0,0,0.282275711,0,0.191295547,0.160208469,331650,324921,42.51012146
3.60E+11,215.8500525,0.359726295,0.092,17134,0.202702703,0.069158879,0.26635514,0.302816901,0.703125,0.862616822,0.101577909,0.034926471,0,0.035211268,0.230046948,0.100934579,0.201869159,0.184273773,330613,322309,37.38317757
3.60E+11,150.2207832,0.333900613,0,20211,0.170437406,0.094622192,0.306671205,0.292145594,0.857798165,0.755956433,0,0,0,0,0,0,0.033015657,0.149419554,331478,327396,13.95507148
3.60E+11,157.2967301,0.332857143,0,12681,0.369606004,0.261428571,0.201428571,0.639344262,0.090909091,0.875714286,0.106481481,0.083870968,0,0.106557377,0.409836066,0.014285714,0.202857143,0.156432677,329551,325686,57.14285714
3.60E+11,182.1927704,0.252252252,0.095717884,19104,0.112299465,0.160875161,0.154440154,0.303398058,0.1,0.888030888,0.117728532,0.197368421,0,0,0.400485437,0.068211068,0.28957529,0.145504116,327029,323073,52.76705277
3.60E+11,211.08047,0.21415608,0,25159,0,0.130671506,0.303085299,0.216216216,0.741935484,0.77676951,0.035320088,0,0,0.069498069,0.108108108,0,0.279491833,0.217844077,332129,323001,67.15063521
3.60E+11,150.2635779,0.466666667,0.161184211,26939,0.093306288,0,0.24057971,0.150134048,0.93373494,0.514492754,0.038709677,0,0,0,0.174262735,0,0.247826087,0.18690133,330855,327065,56.52173913
3.60E+11,197.6192173,0.358251058,0.217241379,20896,0.425287356,0.163610719,0.365303244,0.4765625,0.505791506,0.909732017,0,0,0,0,0.40625,0,0.22425952,0.163114521,328233,322190,55.00705219
3.60E+11,152.571,0.360561056,0.225512528,16556,0.137829912,0.073432343,0.339933993,0.498714653,0.912621359,0.992574257,0.029676259,0.028634361,0,0,0.205655527,0,0.129537954,0.13673268,330631,326269,33.00330033
3.60E+11,237.6270468,0.101867572,0.091205212,40163,0.300952381,0.278438031,0,0.322751323,0,0.417657046,0.040747029,0.089641434,0,0.042328042,0.185185185,0.010186757,0.198641766,0.199045241,328198,319409,66.2139219
3.60E+11,229.454751,0.173228346,0.04,26089,0.082568807,0.125984252,0.241469816,0.341085271,0.919463087,0.940944882,0,0,0,0,0.352713178,0.009186352,0.24671916,0.173713572,328428,320172,44.61942257
3.60E+11,167.7439291,0.252407501,0.011730205,27913,0.065420561,0.177901673,0.216421693,0.439450687,0.700712589,0.876837304,0.021917808,0.014687882,0,0,0.220973783,0,0.085149518,0.115192488,331996,325982,18.24632539
3.60E+11,189.0719523,0.076171875,0.066312997,49870,0,0.177734375,0.103515625,0.127388535,1,0.248046875,0,0.112565445,0,0,0.143312102,0,0.541015625,0.195661416,325735,321897,66.40625
3.60E+11,240.1171585,0.401258851,0.240589198,18611,0.149944873,0.098248286,0.233054075,0.441707718,0.281407035,0.375476009,0.067062818,0.129082426,0,0.034482759,0.341543514,0,0.189642041,0.211499082,329590,320055,26.65651181
3.60E+11,186.2171164,0.299007444,0.15443038,17423,0.12593985,0.146401985,0.253101737,0.357923497,0.493421053,1,0.010498688,0.163310962,0,0,0.428961749,0,0.187344913,0.174894535,329135,323447,42.18362283
3.60E+11,149.5523085,0.173492182,0.044802867,23727,0.152199762,0.153387937,0.306775875,0.251559252,0.490291262,0.950856292,0.09478673,0,0,0.014553015,0.243243243,0,0.128816083,0.177334266,329355,326104,25.3164557
3.60E+11,173.2102458,0.240618102,0.192307692,21400,0.273781903,0.114790287,0.376379691,0.344387755,0.960912052,0.954746137,0,0,0,0,0.079081633,0,0.184326711,0.142362884,331435,326036,36.42384106
3.60E+11,188.0823032,0.340839304,0.063451777,20426,0.22875817,0.042988741,0.331627431,0.531976744,1,0.830092119,0,0,0,0,0.569767442,0.006141249,0.22517912,0.202579653,331762,323494,33.77686796
3.60E+11,214.9114302,0.171919771,0.037593985,46427,0.087215064,0.025787966,0.068051576,0.054127199,0.569620253,0.49713467,0,0.910904255,0,0.01623816,0.129905277,0.25,0.335959885,0.169726301,326244,320065,23.63896848
3.60E+11,171.937777,0.247191011,0.07480315,26736,0.121621622,0.200374532,0.191011236,0.351694915,1,0.861423221,0,0.117241379,0,0,0.411016949,0.009363296,0.191011236,0.227720569,331326,324920,58.05243446
3.60E+11,282.0484076,0.27184466,0.108823529,22876,0.019157088,0.208737864,0.03236246,0.301948052,0.5,0.419093851,0.088815789,0,0.029649596,0,0.324675325,0,0.155339806,0.381034825,330068,316667,51.77993528
3.60E+11,182.3772577,0.491631799,0,15798,0.114967462,0.078451883,0.418410042,0.095115681,0.476489028,0.987447699,0.162192394,0.074688797,0,0.269922879,0.503856041,0,0.126569038,0.192853474,330018,323345,33.47280335
3.60E+11,155.8115073,0.078089462,0.02345679,52280,0.044585987,0.246398787,0.119787718,0.176012461,0.139240506,0.113722517,0,0.066934404,0,0,0.023364486,0.018195603,0.128885519,0.134183246,329068,327892,24.26080364
3.60E+11,170.1000606,0.166391185,0,47307,0.011295181,0.026997245,0.110192837,0.06741573,0.295698925,0.310743802,0,0.165460186,0.020682523,0,0.03258427,0.005509642,0.089256198,0.124151159,327577,327608,17.07988981
3.60E+11,277.1409108,0.129296236,0.021097046,33694,0.084479371,0.127659574,0.10801964,0.435087719,1,0.144026187,0,0,0,0,0.087719298,0,0.29787234,0.239255084,332062,319246,50.73649755
3.60E+11,176.0642467,0.377099237,0.065217391,26037,0.123287671,0.142748092,0.267938931,0.288248337,0.226837061,0.872519084,0.086021505,0,0,0.015521064,0.159645233,0,0.132061069,0.182412827,328544,324851,23.66412214
3.60E+11,155.406201,0.305867665,0.17414966,23424,0.162132753,0.083281541,0.280298322,0.297478992,0.671171171,1,0.014388489,0,0,0,0.233613445,0,0.091982598,0.149894395,330883,326725,19.26662523
3.60E+11,216.3022296,0.540785498,0,7751,0.516666667,0,0.471299094,0.492537313,0.211538462,0.933534743,0.072555205,0,0,0.149253731,0.343283582,0,0.359516616,0.205558551,329618,321622,87.61329305
3.60E+11,275.4984512,0.341500766,0,24093,0.197278912,0.257274119,0.073506891,0.540669856,1,0,0,0.299765808,0.051522248,0,0.466507177,0.036753446,0.266462481,0.196340373,330661,318144,45.94180704
3.60E+11,151.0578749,0.127721335,0.032943677,40379,0.013143483,0.070503597,0.083453237,0.229802513,0.801724138,0.927338129,0,0.243006993,0,0,0.077199282,0.008633094,0.078417266,0.138141615,329772,326832,20.86330935
3.60E+11,183.9318204,0.25984252,0.069767442,31263,0.291891892,0.17847769,0.217847769,0.308510638,0.470588235,1,0,0.317460317,0,0,0.239361702,0,0.322834646,0.187907776,329531,323580,73.49081365
3.60E+11,229.3806451,0.295536791,0.077151335,18329,0.514680484,0.06377858,0.202166065,0.378516624,0,0.600481348,0.057104914,0,0,0,0.345268542,0.004813478,0.286401925,0.202324987,330602,321377,33.69434416
3.60E+11,149.0446272,0.488262911,0.064171123,16944,0.055900621,0.067605634,0.351173709,0.379781421,0.248663102,0.582159624,0.091365462,0,0,0.06284153,0.229508197,0.020657277,0.138967136,0.140183629,324620,326232,26.29107981
3.60E+11,156.0060743,0.184194151,0.0602537,45389,0.024227235,0.178856792,0.257529195,0.12312812,0.623306233,0.248924401,0,0.044274809,0,0.038269551,0.104825291,0,0.141364474,0.124752712,328401,327925,17.2095882
3.60E+11,204.3686943,0.431616341,0.138392857,23476,0.170316302,0.179396092,0.195381883,0.217391304,0.427272727,0.941385435,0.012320329,0.169892473,0,0,0.244147157,0.010657194,0.275310835,0.199651561,327425,321347,47.95737123
3.60E+11,162.6204777,0.065789474,0.033573141,31595,0.074144487,0.200292398,0.141812865,0.255506608,0.762886598,0.934210526,0,0.067829457,0,0,0.13215859,0,0.138888889,0.098500041,332222,326559,39.47368421
3.60E+11,170.0706678,0.011286682,0.109540636,62776,0.028614458,0.202031603,0.178329571,0.306306306,0,0.266365688,0,0,0,0,0.03003003,0,0.100451467,0.113246693,326163,326210,30.47404063
3.60E+11,163.5273335,0.520291363,0.075675676,18872,0.194533762,0.106139438,0.20603538,0.348979592,0.232323232,0.477627471,0.123931624,0.060150376,0,0.059183673,0.495918367,0.003121748,0.221644121,0.125651962,325072,326516,28.09573361
3.60E+11,291.935637,0.17496112,0.161556604,40029,0.033745782,0.099845201,0.205108359,0.2864494,0.401015228,0.116099071,0,0,0,0,0.10806175,0,0.147832817,0.12872788,330535,316640,20.89783282
3.60E+11,159.2931539,0.087373737,0,46045,0.012292563,0.134224864,0.086181278,0.198820556,0.207407407,0.197622585,0.033112583,0.01600674,0,0,0.127211457,0,0.129767211,0.121692088,328131,328379,13.86825161
3.60E+11,295.5551618,0.085277247,0.018453427,33070,0.019918284,0.315609571,0.194075199,0.331162791,0,0.078237752,0,0,0,0.049302326,0.039069767,0,0.083934675,0.116497266,331831,317409,9.874667679
3.60E+11,178.578982,0.262187088,0.324675325,17957,0.047882136,0.177545692,0.251958225,0.683046683,1,0.754569191,0,0.123173278,0,0,0.459459459,0.009138381,0.114882507,0.190429819,329443,324152,33.94255875
3.60E+11,188.8028497,0.395807645,0.03525641,20817,0.045627376,0.132555673,0.2873807,0.032520325,1,0.769883351,0.008383234,0.051851852,0,0,0.276422764,0.139978791,0.241781548,0.15646946,328140,324396,27.57158006
3.60E+11,135.8870759,0.351488744,0.078804348,23123,0.209587514,0.11328976,0.249818446,0.179245283,0.400641026,0.543209877,0.11866969,0.015734266,0,0,0.169811321,0,0.135802469,0.156434345,323381,327688,18.88162672
3.60E+11,168.6541696,0.122529644,0.078465562,40897,0.179674797,0.103331451,0.162055336,0.2725,0.057142857,0.46188594,0.116335142,0.015538291,0,0.045,0.11375,0.005081875,0.133822699,0.1920364,325364,322686,14.11631846
3.60E+11,163.9508568,0.061320755,0.243902439,79023,0.153005464,0.422169811,0.136792453,0.238095238,0,0.150943396,0,0.320833333,0,0,0,0,0.339622642,0.148722228,329091,326833,58.96226415
3.60E+11,168.0045586,0.239179954,0,29800,0.205729167,0.264236902,0.086560364,0.288732394,1,0.870159453,0,0,0,0,0.207746479,0,0.227790433,0.16419595,331022,325987,56.9476082
3.60E+11,150.2223553,0.5,0.045714286,34801,0.042600897,0.137982196,0.212166172,0.66873065,1,0.890207715,0,0,0,0,0.13622291,0,0.160237389,0.179356198,331478,326870,37.09198813
3.60E+11,176.5481457,0.274170274,0,38976,0.024,0.053391053,0,0.057742782,0,0.282828283,0.077922078,0.081927711,0,0,0.175853018,0,0.473304473,0.191813121,325468,323109,36.07503608
3.60E+11,143.9933069,0.177304965,0.023880597,45626,0,0.173049645,0.266666667,0.210714286,0.079787234,0.320567376,0,0.175925926,0,0,0.132142857,0,0.238297872,0.140767696,330356,328347,35.46099291
3.60E+11,157.4492958,0.227984344,0.116104869,21146,0.326953748,0.089041096,0.286692759,0.224770642,0.646616541,0.35518591,0.075132275,0.090551181,0,0.084862385,0.371559633,0,0.175146771,0.163301591,325466,326834,24.46183953
3.60E+11,303.0999385,0.200723327,0.109852775,31603,0.112299465,0.027124774,0.122061483,0.263888889,0.466666667,0.037974684,0,0.025333333,0,0,0.164930556,0,0.127486438,0.120619104,332124,316544,22.6039783
3.60E+11,300.9588486,0.092369478,0.059096176,40839,0.039735099,0.126907631,0.082730924,0.162751678,0.737864078,0.155823293,0.000845309,0.069536424,0,0,0.093959732,0.004016064,0.077911647,0.121174565,331222,316656,19.27710843
3.60E+11,235.550785,0.417674908,0.129925453,14833,0.260536398,0.097317201,0.239347712,0.538221529,0.70989011,0.792740663,0.186459489,0.299751244,0,0.059282371,0.433697348,0,0.165176223,0.217060985,330099,320867,13.15097317
3.60E+11,169.9620039,0.361403509,0.427710843,17408,0,0.322807018,0.094736842,0.564102564,1,1,0,0,0,0,0.724358974,0,0.371929825,0.189719538,329469,324882,84.21052632
3.60E+11,272.8551594,0.12890625,0.035519126,21980,0.136915078,0.180989583,0.21875,0.221864952,0.833333333,0.177083333,0,0,0,0,0.07073955,0,0.223958333,0.298044299,328420,315988,31.25
3.60E+11,252.1347198,0.046532847,0.015822785,36778,0.102372035,0.083557951,0.209344115,0.213157895,0.720670391,0.174303684,0,0,0,0,0.134210526,0,0.128481581,0.160797549,331862,321096,21.56334232
3.60E+11,152.507211,0.431305537,0.023364486,13781,0.152690864,0.059466849,0.358851675,0.523049645,0.925925926,0.809979494,0.043062201,0.400679117,0,0,0.132978723,0.021189337,0.090909091,0.150474838,325337,327294,16.40464798
3.60E+11,231.3171813,0.6048,0.214574899,15935,0.187122736,0.144,0.430933333,0.557911909,0.15,0.9728,0.028223575,0.254385965,0,0.081566069,0.438825449,0,0.093866667,0.217561335,331817,322293,12.8
3.60E+11,189.3962474,0.094373866,0.080838323,31093,0.230769231,0.359346642,0.130671506,0.25566343,0,0.914700544,0,0.022535211,0,0,0.200647249,0,0.197822142,0.19044856,328106,324057,41.74228675
3.60E+11,297.5073346,0.114285714,0,34116,0.026030369,0.168421053,0.306766917,0.229559748,0.137254902,0.030075188,0.001642036,0,0,0,0.279874214,0.007518797,0.120300752,0.101996789,330848,315272,46.61654135
3.60E+11,135.0788651,0.443249701,0.115183246,18932,0.291233284,0.157706093,0.11827957,0.407925408,0.515151515,0.514934289,0.132616487,0.122844828,0,0.016317016,0.596736597,0,0.210274791,0.156575072,323882,328017,27.479092
3.60E+11,177.6651843,0.237042683,0.295825771,19474,0.211937716,0.285823171,0.115091463,0.355513308,0.183673469,0.972560976,0.038871951,0,0,0.081749049,0.287072243,0.131859756,0.108993902,0.195220271,330564,324157,18.29268293
3.60E+11,258.429,0.417490494,0.204771372,17789,0.128712871,0.137642586,0.35513308,0.446300716,0.406896552,0.36730038,0.024428684,0,0.06935123,0.064439141,0.205250597,0.002281369,0.10418251,0.1793318,331839,320668,17.4904943
3.60E+11,241.1917605,0.353383459,0.062370062,23758,0.110977081,0.144461078,0.34505988,0.328031809,0.691111111,0.379491018,0.019182652,0,0,0,0.24055666,0,0.154191617,0.206007768,326609,318133,17.21556886
3.60E+11,136.850184,0.270058708,0.005319149,27018,0.13093415,0.136986301,0.270058708,0.447108604,0.642004773,0.384540117,0.065565307,0,0.011157601,0.08180536,0.104372355,0,0.093444227,0.12505479,324331,328895,11.25244618
3.60E+11,228.286,0.309222423,0.105263158,33146,0.212981744,0.314647378,0.032549729,0.545012165,1,1,0,0.516129032,0,0.02919708,0.520681265,0,0.103074141,0.123105955,327682,319974,39.78300181
3.60E+11,280.2788858,0.41588785,0.328912467,26733,0.188065099,0.168224299,0.138629283,0.293849658,1,0.41588785,0,0,0.030245747,0,0.507972665,0,0.235202492,0.242635594,331776,319142,34.26791277
3.60E+11,191.0902691,0.170977011,0.120743034,21773,0.121082621,0.319011815,0.226638024,0.491349481,0.312796209,0.817400644,0.01416122,0.063981043,0,0,0.498269896,0.252416756,0.149301826,0.181107651,328547,323036,22.55639098
3.60E+11,222.6864823,0.341630901,0.221428571,17321,0.19047619,0.2472103,0.182832618,0.436988543,0.174603175,0.760515021,0.139273356,0.041984733,0,0,0.332242226,0.011158798,0.214592275,0.200828165,329071,320892,18.88412017
3.60E+11,148.8515961,0.37823372,0,21007,0.014354067,0.029010239,0.014505119,0.142857143,1,0.51109215,0,0,0,0,0.210526316,0.060580205,0.133959044,0.147920543,330799,327448,17.91808874
3.60E+11,152.5516686,0.471319312,0.014412417,16048,0.071969697,0.128051589,0.113772455,0.178835979,1,0.691847075,0,0.09825998,0,0,0.231746032,0.008751727,0.108705666,0.12411044,330110,327614,9.672961769
3.60E+11,211.2417979,0.039175258,0.05907173,25468,0.095671982,0.083333333,0.128968254,0.351020408,1,0.970238095,0.001984127,0.067137809,0,0,0.326530612,0.063492063,0.204365079,0.198836375,328187,321443,41.66666667
3.60E+11,277.6568959,0.494252874,0,18453,0.217687075,0.210180624,0.167487685,0.241758242,0.088235294,0.082101806,0.078333333,0,0,0.084249084,0.091575092,0,0.256157635,0.237052722,331700,318785,36.12479475
3.60E+11,175.6468585,0.19047619,0,44587,0.180194805,0.317006803,0.027210884,0.3401222,1,0.20952381,0,0.02715655,0,0,0.226069246,0.008163265,0.107482993,0.105984368,327563,327223,28.57142857
3.60E+11,208.4028593,0.332920792,0.058035714,25772,0.036259542,0.089108911,0.254950495,0.22962963,0.568306011,0.972772277,0.012594458,0,0.025974026,0,0.138271605,0,0.201732673,0.19535153,330199,322718,25.99009901
3.60E+11,185.857,0.180041152,0.063291139,43770,0.288762447,0.327160494,0.134773663,0.277310924,0.225806452,0.933127572,0.084862385,0.034862385,0,0,0.289915966,0,0.158436214,0.183960483,328570,324259,21.60493827
3.60E+11,295.3485233,0.05344296,0.020220588,30061,0.209580838,0.162384378,0.21274409,0.303116147,0.183246073,0.274409044,0.035106383,0.016997167,0,0,0.016997167,0,0.112024666,0.107163062,330685,316009,21.58273381
3.60E+11,164.5316515,0.459879206,0,16989,0.059936909,0.006902502,0.366695427,0.223529412,0.024630542,0.552200173,0.238779174,0.186893204,0,0.191176471,0.252941176,0,0.113028473,0.13736442,325601,326400,18.11906816
3.60E+11,188.9770175,0.220760234,0,27356,0.144259078,0.070422535,0.216901408,0.222222222,0.553191489,0.966901408,0,0,0,0,0.354642314,0,0.133802817,0.176456087,328402,323855,14.78873239
3.60E+11,174.757568,0.313929314,0.202797203,18488,0.222222222,0.16563147,0.161490683,0.053278689,0.276315789,1,0,0,0,0,0.631147541,0,0.186335404,0.221856409,330039,324133,41.40786749
3.60E+11,189.2406643,0.558095238,0,15493,0.212707182,0.068571429,0.217142857,0.320143885,0.859649123,1,0.081904762,0,0.050938338,0,0.111510791,0,0.316190476,0.201034447,331027,324106,40
3.60E+11,213.3171365,0.045936396,0,20604,0,0.097173145,0.439929329,0.191780822,0.16064257,0.913427562,0.164,0.162790698,0,0,0,0.045936396,0.270318021,0.19875673,331593,322938,35.33568905
3.60E+11,199.2082525,0.155120482,0,19330,0.107216495,0.30873494,0.195783133,0.473913043,0,0.899096386,0.055722892,0,0,0,0.147826087,0,0.140060241,0.168951924,327708,322028,30.12048193
3.60E+11,187.7703697,0.262449529,0.035608309,30791,0.080733945,0.160206718,0.210594315,0.435215947,0.702898551,0.897932817,0,0.015801354,0,0.03654485,0.189368771,0.07622739,0.201550388,0.202323626,327546,323495,25.83979328
3.60E+11,170.0935133,0.298122066,0.10653753,21154,0.114238411,0.066901408,0.232394366,0.358490566,0.650793651,0.737089202,0.042527339,0,0,0,0.438679245,0,0.246478873,0.157680437,324090,324013,23.4741784
3.60E+11,171.1869651,0.128834356,0,49169,0.057842047,0.189161554,0,0.265734266,0,0.154396728,0.034764826,0.128824477,0,0,0.031468531,0.003067485,0.178936605,0.111649216,327012,327430,20.44989775
3.60E+11,259.0790622,0.209055877,0.085365854,26562,0.297752809,0.132947977,0.278420039,0.460957179,0.606498195,0.387283237,0.051102204,0.020979021,0,0.035264484,0.166246851,0,0.145472062,0.174621753,332168,320671,20.23121387
3.60E+11,227.2549656,0.214285714,0.135802469,23643,0.137447405,0.060150376,0.131578947,0.43594306,0.844262295,0.854323308,0.036489152,0.392739274,0,0.028469751,0.197508897,0,0.052631579,0.182886979,327164,319633,18.79699248
3.60E+11,214.4287585,0.28150874,0.217252396,13172,0.301369863,0.09475621,0.493100276,0.405594406,0.444029851,0.97700092,0.048840049,0,0,0.13986014,0.548951049,0,0.093836247,0.175661634,328788,321464,17.47930083
3.60E+11,196.3915415,0.061148397,0.047713718,52561,0.004127967,0.029082774,0.168530947,0.081743869,0.053097345,0.382550336,0.006369427,0.433411215,0,0,0.113079019,0.020134228,0.165548098,0.177363048,326357,321841,14.9142431
3.60E+11,180.8012289,0.06122449,0,21493,0.190600522,0.083487941,0.278293135,0.121848739,0,0.777365492,0.084033613,0.079545455,0,0.054621849,0.12605042,0,0.33580705,0.224058001,325336,323535,35.25046382
3.60E+11,280.3961965,0.091580502,0.029761905,32484,0.082191781,0.270310192,0.149187592,0.142394822,0.891089109,0.023633678,0,0,0,0,0.132686084,0,0.184638109,0.153560629,330789,317599,28.06499261
3.60E+11,241.2326852,0.114624506,0.236619718,21078,0.09978308,0.197628458,0.335968379,0.285714286,0,0.507246377,0.014005602,0,0,0,0.263975155,0,0.179183136,0.12987313,332159,321508,25.03293808
3.60E+11,159.8964019,0.17752235,0.385356455,24056,0,0.14559387,0.307790549,0.036144578,0.726804124,0.900383142,0,0,0,0.078313253,0.177710843,0,0.140485313,0.146429392,331487,325467,24.26564496
3.60E+11,172.5346995,0.382746051,0,15461,0.098920863,0.17253949,0.278250304,0.185303514,0.310043668,1,0,0,0,0,0.194888179,0,0.151883354,0.142583618,331445,326543,23.08626974
3.60E+11,246.370504,0.379685611,0.05952381,19509,0.305007587,0.021765417,0.107617896,0.554166667,1,0.085852479,0,0.069767442,0,0.129166667,0.245833333,0,0.142684401,0.22565312,328180,318837,22.97460701
3.60E+11,172.252187,0.410085633,0.078544061,29678,0,0.216936251,0.104662226,0.325722983,1,0.236917222,0,0.6,0,0.111111111,0.321156773,0,0.081826832,0.109238579,326657,322989,17.12654615
3.60E+11,186.3444574,0.191855204,0.075085324,21860,0.098387097,0.098920863,0.17176259,0.218241042,0.461956522,0.951438849,0.068441065,0,0,0.058631922,0.426710098,0.006294964,0.124100719,0.17669933,327560,322865,16.18705036
3.60E+11,223.0434507,0.665250637,0.190104167,11555,0.266666667,0.007588533,0.480607083,0.31147541,0.357798165,0.930016863,0.125905797,0,0,0.091803279,0.521311475,0,0.123946037,0.187969313,330414,321826,16.02023609
3.60E+11,188.5229449,0.102917342,0.078651685,27303,0.148018648,0.138573744,0.108589951,0.319148936,0.653061224,0.987034036,0,0.105448155,0,0,0.172340426,0,0.139384117,0.165436191,327595,324112,15.39708266
3.60E+11,179.4554853,0.067035245,0.160443996,76523,0.017369727,0.217000691,0.107118176,0.0968523,0,0.230131306,0.016487455,0.241836735,0,0,0.078692494,0,0.114720111,0.124370579,326809,326234,13.13061507
3.60E+11,295.8413284,0.102189781,0.051886792,30019,0.023752969,0.195255474,0.217153285,0.401486989,0.294117647,0.217153285,0,0,0,0,0.037174721,0,0.198905109,0.127110904,330988,316963,34.67153285
3.60E+11,302.5,0.420600858,0,18035,0.149377593,0.226037196,0.310443491,0.65625,0.285714286,0.618025751,0.02349486,0,0,0,0,0,0.145922747,0.120619104,331941,317002,25.75107296
3.60E+11,206.2256666,0.821917808,0.351648352,4604,0.167539267,0.071232877,0.706849315,0.162601626,0.866,0.794520548,0.155597723,0,0.095238095,0.113821138,0.073170732,0,0.139726027,0.168803784,329696,322287,24.65753425
3.60E+11,254.2290526,0.484340045,0.099773243,17339,0.267993874,0.061521253,0.214765101,0.584245077,0.56875,0.544742729,0.020737327,0.198782961,0,0,0.297592998,0.011185682,0.201342282,0.20690811,331254,320761,22.37136465
