CodeELSTAT,X,Y,UnemrT01,PrSect01,Foreig01,Income01
4004,333032.4385,4136068.015,5.029412,14.152989,4.128939,12944.74137
4005,393588.7795,4110978.946,4.465593,47.43295,3.104939,8672.125241
4101,405232.6207,4161641.889,5.224525,30.265756,8.890436,11534.49906
4102,378602.6827,4169075.406,5.978814,29.070523,7.359933,9582.188937
4103,417874.7879,4162962.655,3.329473,52.111411,7.761194,8169.299538
4104,430720.2153,4142197.825,6.767446,25.659879,14.780181,8996.95022
4201,406860.2016,4185476.317,4.36019,22.881027,10.527485,11896.61317
4202,389176.8019,4196844.546,2.831226,45.304102,9.413947,9574.161074
4203,414459.3018,4205210.28,6.856146,6.852248,9.631219,11940.52195
4204,381179.2888,4187382.291,0.673894,66.371681,10.156464,7689.421102
4205,367443.0866,4210794.583,3.491507,46.38916,7.753512,9600.666543
4206,365066.3807,4197489.516,2.645777,43.056592,7.249063,9188.499391
4301,362373.2843,4108247.515,2.573124,34.49692,6.779058,10769.10264
4302,361352.1952,4059620.247,5.165409,39.820481,11.469108,9033.625889
4303,406941.1244,4038331.533,6.122449,36.956522,8.847185,8778.104036
4304,384703.9039,4087730.851,2.685308,67.480046,11.460221,7192.308026
4305,408109.5687,4065070.455,4.43128,55.393008,7.827199,8127.118396
4401,334178.1864,4107577.615,5.956961,10.481552,5.017,12338.16041
4402,346861.6048,4085965.633,6.365031,55.569206,13.59267,7431.348413
4403,312513.3808,4102759.543,4.689755,51.205796,6.558645,7839.114314
4404,317436.3175,4130683.2,2.602855,42.586207,7.208287,8012.720158
4405,302049.3929,4087565.953,4.833617,60.579377,9.441715,7128.254242
4406,296615.0533,4120424.631,2.620229,49.669926,13.82815,9953.122462
4501,476676.8701,4204338.253,5.624998,0.515649,17.426785,14497.39354
4502,480407.0012,4199965.945,6.080016,0.463182,7.36147,13966.46441
4503,478553.3073,4207692.704,4.621528,0.491463,5.509564,14465.66493
4504,476996.0663,4200077.379,5.52713,0.367745,11.146436,13689.64894
4505,481609.9311,4202738.015,3.888003,0.302285,8.205619,14776.12145
4506,479645.4081,4197931.282,5.917458,0.425861,5.025733,14933.37738
4507,481637.0386,4201132.155,4.348947,0.278552,8.244769,13417.32821
4508,476909.8633,4209991.686,4.738235,0.467575,8.043588,13782.75153
4601,482797.521,4210691.062,4.380707,0.633389,5.664887,18932.91138
4602,484634.6874,4206429.566,3.008167,0.517554,5.355954,19938.12926
4603,485562.5194,4209895.957,3.922883,0.497295,4.682677,22306.36886
4604,479810.7717,4211313.436,4.943621,0.45586,4.805635,15546.21549
4605,484590.289,4215337.602,4.94433,1.050271,9.058772,22713.81997
4606,481275.9049,4212723.317,4.481024,0.781873,4.68281,18012.84653
4607,479008.8967,4212873.135,5.351646,0.883996,6.65286,14017.15822
4608,478763.2558,4209693.061,4.928766,0.366845,8.611015,13399.83292
4609,482792.7582,4204570.429,4.004405,0.521431,5.155828,19957.23993
4610,490360.7408,4211652.5,4.781411,0.82332,8.331449,20040.30088
4611,480180.6217,4207156.636,4.256849,0.398047,8.184301,24573.89454
4612,483381.6485,4208101.364,6.147813,0.716765,6.18246,18996.2013
4701,472580.443,4207194.264,5.234798,0.458925,7.056066,12433.88827
4702,469729.3949,4204702.922,7.413793,0.283763,5.495312,11085.77227
4703,474606.1577,4210857.733,4.699718,0.613263,7.097849,12571.41912
4704,471632.4804,4204488.865,6.606146,0.551688,7.097387,12066.64926
4705,474105.124,4209703.699,5.640914,0.451669,6.433254,12459.10637
4706,471469.8446,4210471.338,5.227775,0.448012,3.252711,13472.29011
4707,467432.9112,4206636.273,4.818924,0.328626,3.736699,13704.54664
4801,473531.6063,4200257.926,5.753463,0.361087,8.201391,13027.38648
4802,476160.1489,4198192.998,5.877712,0.474993,6.582164,13734.15286
4803,475789.6949,4196129.58,4.167878,0.309353,6.166604,16958.46242
4804,479844.1682,4192498.663,4.318526,0.572086,7.97901,17935.64368
4805,477982.2557,4194720.718,5.745355,0.429726,5.75461,15089.91727
4806,472503.4312,4201270.772,5.865497,0.515624,7.740544,13509.902
4807,474777.6387,4199269.873,4.202529,0.319103,6.705269,16619.00747
4808,473672.854,4197764.131,4.797139,0.438809,8.803252,16035.15788
4901,476904.0684,4221560.836,6.918793,2.442077,7.109372,11532.81391
4902,481399.2936,4186566.343,4.483216,1.514451,12.438579,19520.44116
4903,486902.0661,4220729.278,3.40752,3.019678,13.518336,20617.69563
4904,487012.5318,4192193.965,4.835082,7.621111,13.038322,12282.96805
4905,501116.1036,4176954.973,9.118504,4.702739,6.801438,11458.78777
4906,497524.2596,4224632.112,6.505265,15.073684,15.055692,11591.46425
4907,497791.1868,4193271.127,4.497696,6.311523,9.830658,12800.67458
4908,488326.7747,4200687.875,6.079738,5.838417,7.603582,14564.76827
4909,489382.7945,4206707.097,5.834153,1.169509,8.509372,15578.63786
4910,496200.4256,4207838.304,3.946465,2.054305,13.387156,16607.3073
4911,494583.161,4181739.202,4.729075,4.613297,13.233622,13089.82881
4912,496356.7601,4201933.98,8.343512,4.541261,14.364707,12144.68961
4913,481063.16,4233760.362,4.589434,15.238266,13.960731,12059.23401
5001,459051.2363,4214126.192,5.958702,1.227819,7.101978,13481.76991
5002,464733.6446,4216558.808,5.786281,6.518078,12.38675,11324.65871
5003,443910.1186,4221454.072,4.33121,6.583814,7.206725,11755.16362
5004,436191.7656,4208817.603,4.679102,16.135987,8.723006,10213.3995
5005,470922.9368,4218968.3,8.056316,1.056288,5.871832,10706.76557
5101,468574.0341,4199691.401,6.480184,0.491722,8.515141,13526.48684
5102,466418.5592,4201598.253,6.550318,0.762893,5.506176,11927.69381
5103,468779.0044,4203908.508,7.156274,0.349096,6.678547,12390.07628
5104,469470.1381,4202533.595,7.185884,0.364312,7.463988,11750.49109
5105,463227.1028,4202953.355,6.384455,0.476543,5.757121,11067.58053
5201,454085.8427,4198811.164,7.264762,5.284913,5.658489,10981.72046
5202,449626.2498,4131555.696,6.478579,7.039106,12.962963,11245.356
5203,441620.2553,4171877.053,9.84252,3.930131,11.399549,9532.880665
5204,454094.8409,4176476.883,10.848741,9.045477,7.974206,9532.880665
5205,410467.7995,4008720.325,7.479432,19.320938,13.889667,11610.35747
5206,453684.219,4148424.031,11.965282,10.352113,7.730033,9296.633841
5207,428507.96,4118294.779,5.949821,6.478659,11.746032,9269.2439
5208,440740.0029,4153915.959,2.758007,53.857884,11.762564,9316.761604
5301,693592.9839,4337727.396,5.081193,29.294261,4.899598,11387.17205
5401,689808.2582,4162918.588,6.47715,29.819161,4.429016,9832.88178
5402,719796.896,4162851.531,12.121212,18.808777,1.143241,9107.992058
5501,604693.9011,4418679.416,5.144312,20.368713,3.938444,10122.84899
5502,586374.1086,4374376.432,1.769912,44.144144,2.605863,7725.916147
5601,747589.5266,4179682.009,5.275038,16.574001,5.361922,11308.20587
5701,675929.3213,4252023.411,6.0406,11.452587,4.438607,11786.19731
5702,695052.0138,4265523.766,7,13.157895,4.210526,11645.23074
5703,637069.007,4269924.614,8.571429,14.583333,7.531381,9669.141958
5801,577572.9782,4146487.656,6.242561,4.161377,2.763603,12864.63848
5901,574498.4139,4190085.498,7.555262,18.308351,10.188476,10136.63514
6001,627237.5385,4028936.074,11.622439,5.720258,14.937336,11524.86643
6002,659987.8323,4025276.546,1.869159,43.809524,1.102941,9062.404166
6003,618332.1043,4064536.428,5.958549,17.768595,9.291085,9373.082883
6004,599675.6973,4059438.097,1.333333,27.027027,1.680672,7566.666874
6005,580460.093,4053701.559,4.669261,31.428571,4.733728,9215.517837
6101,766084.2464,4097334.771,10.889016,15.295877,7.830598,9167.76417
6102,762387.857,4149989.46,12.280702,56,9.210526,5421.733909
6103,712852.8,4046679.533,3.211991,19.911504,4.765343,11184.92153
6104,743770.3501,4131533.431,7.239819,20,4.221252,5421.733909
6105,745206.9261,4112586.502,4.420085,7.658158,3.132648,12235.92235
6106,729978.1813,4135731.096,12.816456,11.524501,5.142483,9166.012535
6201,785721.5032,3945491.314,12.494422,14.63539,14.470678,8595.080677
6202,764886.7566,3920327.908,12.350598,25.454545,9.575518,8647.091748
6301,526876.6582,4163958.532,0.677966,26.279863,20.259019,11273.3675
6302,536776.278,4138163.698,3.709949,37.478109,3.185956,10105.42611
6401,779385.2992,4079028.812,11.034832,4.719357,11.019203,11774.02956
6402,781864.4791,4054007.812,19.6875,5.836576,6.573276,10000.0154
6501,537743.204,4062356.343,4.83871,5.552309,6.504752,12157.02224
6502,551995.2536,4071941.173,2.162162,16.574586,0.357995,10928.18866
6503,542866.5516,4112791.061,3.809524,13.366337,4.912837,10381.57632
6504,562413.1744,4091552.943,3.311966,16.464088,5.633256,10584.59118
6601,619778.0359,4144897.406,5.147717,4.341671,24.533592,13106.51712
6701,668913.9715,4079153.345,6.339144,26.903553,9.557235,9479.281342
6702,633332.9396,4100343.012,7.600418,23.594053,7.323496,10360.87907
6801,605834.9315,4101826.671,7.042809,12.075552,14.097339,10528.1431
6802,592541.5276,4094236.675,5.932203,28.228228,6.726014,9025.079789
6901,855314.0686,4011382.108,15.389431,4.961814,9.170128,12302.95495
6902,1001577.713,4014035.346,3.529412,2.439024,6.451613,9412.224138
6903,842932.347,4056547.9,13.852243,9.341501,7.67155,9593.545145
6904,801313.6861,4036585.347,8.846154,12.236287,13.819578,9261.601516
6905,824000.9913,4016217.423,1.941748,31.683168,17.966102,8888.138597
7001,599819.3488,4162201.252,6.100796,12.782486,5.853358,10143.64942
7101,599279.523,3900401.022,6.557167,7.477305,4.048727,12479.91195
7102,606783.7975,3883043.291,2.001881,54.140389,3.513776,8080.973395
7103,629865.6276,3878698.659,7.643312,65.793103,7.18703,7416.650771
7104,591767.8725,3878950.45,4.458874,62.739767,3.856971,7264.695448
7105,588773.0787,3907833.862,8.724016,25.19685,4.195804,10508.36874
7106,618039.1456,3888713.226,3.833072,51.843287,4.976455,8427.782051
7107,575963.9448,3879452.094,4.44999,47.181719,6.25157,9011.115786
7108,622004.4926,3905268.342,13.273453,16.006904,13.828361,10616.65594
7201,648457.783,3898468.002,10.028391,11.268322,8.46983,12393.12758
7202,661879.7382,3881098.105,5.839809,44.98284,11.988178,10033.98085
7203,634297.3718,3891772.274,2.569373,47.257384,1.923704,8457.863978
7204,693549.936,3890352.024,6.408027,37.721555,6.310989,10867.97604
7301,544158.6611,3907814.261,8.836888,11.545543,9.663226,13184.75781
7302,546519.9983,3893142.495,5.806011,38.57868,7.400555,8924.440205
7303,561904.9222,3896394.313,3.407542,53.339605,2.148056,8208.923846
7304,579081.6291,3899990.28,6.415621,56.706408,1.307351,7760.382903
7305,570556.0225,3910952.682,4.003079,45.10826,6.982319,9470.432432
7401,504851.0389,3925653.891,6.666993,5.725071,7.916497,11612.22968
7402,517480.1875,3913751.485,7.009982,35.838009,8.900264,8787.677923
7403,507562.9646,3855767.657,0.35,51.351351,9.876543,8498.080328
7404,475420.5821,3905917.949,2.284569,61.525841,14.680209,7989.958401
7405,465887.9907,3920086.947,5.191257,45.701249,7.916303,8750.030129
7406,484468.9696,3924050.753,5.938448,51.305684,8.889386,8120.027122
7407,508083.9048,3901847.18,2.198853,63.929619,4.960728,6602.391386
